Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
1994-01-03,113.94,113.94,113.94,113.94
1994-01-04,114.17,114.17,114.17,114.17
1994-01-05,116.27,116.27,116.27,116.27
1994-01-06,116.51,116.51,116.51,116.51
1994-01-07,116.3,116.3,116.3,116.3
1994-01-10,114.86,114.86,114.86,114.86
1994-01-11,115.73,115.73,115.73,115.73
1994-01-12,114.94,114.94,114.94,114.94
1994-01-13,115.76,115.76,115.76,115.76
1994-01-14,117.19,117.19,117.19,117.19
1994-01-17,117.5,117.5,117.5,117.5
1994-01-18,116.85,116.85,116.85,116.85
1994-01-19,116.54,116.54,116.54,116.54
1994-01-20,116.03,116.03,116.03,116.03
1994-01-21,116.21,116.21,116.21,116.21
1994-01-24,117.37,117.37,117.37,117.37
1994-01-25,117.32,117.32,117.32,117.32
1994-01-26,118.67,118.67,118.67,118.67
1994-01-27,118.64,118.64,118.64,118.64
1994-01-28,118.72,118.72,118.72,118.72
1994-01-31,118.52,118.52,118.52,118.52
1994-02-01,120.8,120.8,120.8,120.8
1994-02-02,121.32,121.32,121.32,121.32
1994-02-03,120.97,120.97,120.97,120.97
1994-02-04,120.22,120.22,120.22,120.22
1994-02-07,119.2,119.2,119.2,119.2
1994-02-08,119.53,119.53,119.53,119.53
1994-02-09,118.33,118.33,118.33,118.33
1994-02-10,118.14,118.14,118.14,118.14
1994-02-11,118.32,118.32,118.32,118.32
1994-02-14,116.99,116.99,116.99,116.99
1994-02-15,116.82,116.82,116.82,116.82
1994-02-16,116.75,116.75,116.75,116.75
1994-02-17,117.3,117.3,117.3,117.3
1994-02-18,117.51,117.51,117.51,117.51
1994-02-22,118.05,118.05,118.05,118.05
1994-02-23,117.96,117.96,117.96,117.96
1994-02-24,119.06,119.06,119.06,119.06
1994-02-25,118.56,118.56,118.56,118.56
1994-02-28,118.03,118.03,118.03,118.03
1994-03-01,118.28,118.28,118.28,118.28
1994-03-02,118.04,118.04,118.04,118.04
1994-03-03,117.66,117.66,117.66,117.66
1994-03-04,118.11,118.11,118.11,118.11
1994-03-07,116.93,116.93,116.93,116.93
1994-03-08,116.72,116.72,116.72,116.72
1994-03-09,116.97,116.97,116.97,116.97
1994-03-10,117.13,117.13,117.13,117.13
1994-03-11,118.03,118.03,118.03,118.03
