Date,MSCIDeveloped,MSCIEmerging,Commodity,Gold,DowToGold,ShillerPE,Cpi
1987-1-2,-1.0,-1.0,-1.0,-1.0,-1.0,14.92,111.4
1987-1-3,-1.0,-1.0,-1.0,404.0,-1.0,14.92,111.4
1987-1-4,-1.0,-1.0,-1.0,404.0,-1.0,14.92,111.4
1987-1-5,-1.0,-1.0,-1.0,404.0,-1.0,14.92,111.4
1987-1-6,-1.0,-1.0,-1.0,405.0,-1.0,14.92,111.4
1987-1-7,-1.0,-1.0,-1.0,402.2,-1.0,14.92,111.4
1987-1-8,-1.0,-1.0,-1.0,404.3,-1.0,14.92,111.4
1987-1-9,-1.0,-1.0,-1.0,403.9,-1.0,14.92,111.4
1987-1-10,-1.0,-1.0,-1.0,407.5,-1.0,14.92,111.4
1987-1-11,-1.0,-1.0,-1.0,407.5,-1.0,14.92,111.4
1987-1-12,-1.0,-1.0,-1.0,407.5,-1.0,14.92,111.4
1987-1-13,-1.0,-1.0,-1.0,410.2,-1.0,14.92,111.4
1987-1-14,-1.0,-1.0,-1.0,412.3,-1.0,14.92,111.4
1987-1-15,-1.0,-1.0,-1.0,419.2,-1.0,14.92,111.4
1987-1-16,-1.0,-1.0,-1.0,417.0,-1.0,14.92,111.4
1987-1-17,-1.0,-1.0,-1.0,417.3,-1.0,14.92,111.4
1987-1-18,-1.0,-1.0,-1.0,417.3,-1.0,14.92,111.4
1987-1-19,-1.0,-1.0,-1.0,417.3,-1.0,14.92,111.4
1987-1-20,-1.0,-1.0,-1.0,423.3,-1.0,14.92,111.4
1987-1-21,-1.0,-1.0,-1.0,408.2,-1.0,14.92,111.4
1987-1-22,-1.0,-1.0,-1.0,408.8,-1.0,14.92,111.4
1987-1-23,-1.0,-1.0,-1.0,408.9,-1.0,14.92,111.4
1987-1-24,-1.0,-1.0,-1.0,405.3,-1.0,14.92,111.4
1987-1-25,-1.0,-1.0,-1.0,405.3,-1.0,14.92,111.4
1987-1-26,-1.0,-1.0,-1.0,405.3,-1.0,14.92,111.4
1987-1-27,-1.0,-1.0,-1.0,411.3,-1.0,14.92,111.4
1987-1-28,-1.0,-1.0,-1.0,419.8,-1.0,14.92,111.4
1987-1-29,-1.0,-1.0,-1.0,414.7,-1.0,14.92,111.4
1987-1-30,-1.0,-1.0,-1.0,416.6,-1.0,14.92,111.4
1987-1-31,398.106,-1.0,-1.0,408.9,-1.0,14.92,111.4
1987-2-1,398.106,-1.0,-1.0,408.9,-1.0,14.92,111.4
1987-2-2,398.106,-1.0,-1.0,408.9,-1.0,15.82,111.8
1987-2-3,398.106,-1.0,-1.0,404.8,-1.0,15.82,111.8
1987-2-4,398.106,-1.0,-1.0,407.2,-1.0,15.82,111.8
1987-2-5,398.106,-1.0,-1.0,406.2,-1.0,15.82,111.8
1987-2-6,398.106,-1.0,-1.0,412.0,-1.0,15.82,111.8
1987-2-7,398.106,-1.0,-1.0,407.4,-1.0,15.82,111.8
1987-2-8,398.106,-1.0,-1.0,407.4,-1.0,15.82,111.8
1987-2-9,398.106,-1.0,-1.0,407.4,-1.0,15.82,111.8
1987-2-10,398.106,-1.0,-1.0,407.2,-1.0,15.82,111.8
1987-2-11,398.106,-1.0,-1.0,406.2,-1.0,15.82,111.8
1987-2-12,398.106,-1.0,-1.0,405.5,-1.0,15.82,111.8
1987-2-13,398.106,-1.0,-1.0,398.3,-1.0,15.82,111.8
1987-2-14,398.106,-1.0,-1.0,400.7,-1.0,15.82,111.8
1987-2-15,398.106,-1.0,-1.0,400.7,-1.0,15.82,111.8
1987-2-16,398.106,-1.0,-1.0,400.7,-1.0,15.82,111.8
1987-2-17,398.106,-1.0,-1.0,400.7,-1.0,15.82,111.8
1987-2-18,398.106,-1.0,-1.0,394.9,-1.0,15.82,111.8
1987-2-19,398.106,-1.0,-1.0,395.3,-1.0,15.82,111.8
1987-2-20,398.106,-1.0,-1.0,402.7,-1.0,15.82,111.8
1987-2-21,398.106,-1.0,-1.0,408.7,-1.0,15.82,111.8
1987-2-22,398.106,-1.0,-1.0,408.7,-1.0,15.82,111.8
1987-2-23,398.106,-1.0,-1.0,408.7,-1.0,15.82,111.8
1987-2-24,398.106,-1.0,-1.0,404.6,-1.0,15.82,111.8
1987-2-25,398.106,-1.0,-1.0,404.6,-1.0,15.82,111.8
1987-2-26,398.106,-1.0,-1.0,405.2,-1.0,15.82,111.8
1987-2-27,398.106,-1.0,-1.0,408.5,-1.0,15.82,111.8
1987-2-28,410.589,-1.0,-1.0,407.4,-1.0,15.82,111.8
1987-3-1,410.589,-1.0,-1.0,407.4,-1.0,15.82,111.8
1987-3-2,410.589,-1.0,-1.0,407.4,-1.0,16.43,112.2
1987-3-3,410.589,-1.0,-1.0,405.6,-1.0,16.43,112.2
1987-3-4,410.589,-1.0,-1.0,409.1,-1.0,16.43,112.2
1987-3-5,410.589,-1.0,-1.0,412.2,-1.0,16.43,112.2
1987-3-6,410.589,-1.0,-1.0,408.8,-1.0,16.43,112.2
1987-3-7,410.589,-1.0,-1.0,407.8,-1.0,16.43,112.2
1987-3-8,410.589,-1.0,-1.0,407.8,-1.0,16.43,112.2
1987-3-9,410.589,-1.0,-1.0,407.8,-1.0,16.43,112.2
1987-3-10,410.589,-1.0,-1.0,406.5,-1.0,16.43,112.2
1987-3-11,410.589,-1.0,-1.0,408.3,-1.0,16.43,112.2
