Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,19.811,20.04,19.728,19.996,4349452
2005-02-28,20.168,20.168,19.872,19.963,4163172
2005-03-01,19.99,20.04,19.925,20.023,3167849
2005-03-02,19.851,19.872,19.67,19.687,5039451
2005-03-03,19.851,19.851,19.628,19.742,7351960
2005-03-04,19.94,20.023,19.898,19.981,3544811
2005-03-07,20.04,20.162,20.031,20.112,7800570
2005-03-08,20.126,20.126,19.956,19.956,5070316
2005-03-09,19.99,20.06,19.811,19.841,11613228
2005-03-10,19.72,19.811,19.604,19.652,8309809
2005-03-11,19.67,19.811,19.514,19.541,9654544
2005-03-14,19.488,19.598,19.319,19.393,6474576
2005-03-15,19.31,19.361,18.894,18.909,12508252
2005-03-16,18.813,18.991,18.674,18.746,11553712
2005-03-17,18.746,19.116,18.738,19.09,6532994
2005-03-18,19.223,19.223,18.944,19.007,4449753
2005-03-21,19.007,19.016,18.681,18.73,9279781
2005-03-22,18.697,18.944,18.33,18.382,11530559
2005-03-23,18.134,18.421,18.127,18.151,12116956
2005-03-24,18.216,18.446,18.127,18.127,9283090
2005-03-28,18.397,18.397,18.151,18.257,5361309
2005-03-29,18.187,18.187,17.749,17.785,12209543
2005-03-30,18.037,18.264,17.915,18.194,8979972
2005-03-31,18.142,18.446,18.142,18.382,10753478
2005-04-01,18.446,18.916,18.446,18.494,21770399
2005-04-04,18.568,18.568,18.315,18.535,8366021
2005-04-05,18.535,18.674,18.512,18.526,7695858
2005-04-06,18.674,19,18.674,18.779,9492514
2005-04-07,18.861,18.991,18.813,18.974,9237896
2005-04-08,18.926,18.952,18.852,18.887,5497985
2005-04-11,18.813,18.832,18.535,18.697,5340367
2005-04-12,18.697,18.934,18.412,18.934,12064049
2005-04-13,18.837,18.837,18.56,18.56,9804450
2005-04-14,18.494,18.494,18.07,18.085,14124139
2005-04-15,17.996,18.11,17.679,17.702,13216996
2005-04-18,17.586,17.915,17.561,17.915,10366594
2005-04-19,18.021,18.216,18.021,18.216,12931512
2005-04-20,18.232,18.232,17.785,17.785,7178906
2005-04-21,17.979,18.306,17.947,18.299,9916879
2005-04-22,18.242,18.257,17.947,18.094,4561083
2005-04-25,18.201,18.453,18.169,18.438,6475678
2005-04-26,18.315,18.43,18.201,18.251,9442915
2005-04-27,18.118,18.201,17.964,18.085,7206463
2005-04-28,17.996,17.996,17.759,17.791,7168986
2005-04-29,17.996,18.194,17.817,18.151,11453404
2005-05-02,18.242,18.494,18.127,18.273,9891525
2005-05-03,18.264,18.339,18.194,18.257,5140862
2005-05-04,18.315,18.813,18.315,18.755,17144281
2005-05-05,18.813,18.974,18.617,18.852,10523111
2005-05-06,18.832,18.974,18.832,18.901,6354428
2005-05-09,18.764,18.974,18.764,18.916,2882364
2005-05-10,18.689,18.755,18.494,18.494,13851886
2005-05-11,18.586,18.599,18.347,18.586,5651199
2005-05-12,18.544,18.592,18.216,18.264,8889588
2005-05-13,18.315,18.315,18.037,18.078,17202701
2005-05-16,18.178,18.291,18.07,18.291,7410380
2005-05-17,18.169,18.355,18.11,18.299,7094034
2005-05-18,18.355,18.764,18.355,18.665,11230751
2005-05-19,18.714,18.771,18.65,18.73,5358001
2005-05-20,18.657,18.689,18.544,18.681,3678181
2005-05-23,18.607,18.779,18.592,18.746,5262109
2005-05-24,18.65,18.689,18.617,18.689,3438997
2005-05-25,18.65,18.65,18.535,18.56,2581453
2005-05-26,18.65,18.813,18.65,18.764,2760015
2005-05-27,18.846,18.916,18.804,18.894,1742643
2005-05-31,18.852,18.852,18.706,18.73,3648426
