Data,Otwarcie,Max,Min,Zamkniecie
2012-07-09,1227.36,1227.84,1220.57,1224.14
2012-07-10,1224.99,1232.96,1215.91,1218.81
2012-07-11,1218.58,1222.09,1213.29,1218.81
2012-07-12,1218.59,1218.61,1201.03,1207.47
2012-07-13,1207.63,1226.28,1207.63,1225.55
2012-07-16,1225.94,1228.11,1220.14,1225.35
2012-07-17,1225.96,1232.11,1218.04,1229.12
2012-07-18,1232.07,1241,1228.52,1239.07
2012-07-19,1240.47,1250.25,1240.47,1247.82
2012-07-20,1247.77,1247.85,1230.84,1231.35
2012-07-23,1229.18,1229.18,1202.52,1212.05
2012-07-24,1212.07,1213.59,1197.18,1202.88
2012-07-25,1201.24,1207.17,1197.35,1201.74
2012-07-26,1203.05,1229.46,1202.14,1227.82
2012-07-27,1227.99,1251.92,1227.99,1250.02
2012-07-30,1250.45,1257.64,1249.95,1253.9
2012-07-31,1254.35,1256.75,1250.13,1250.57
2012-08-01,1249.1,1253.74,1245.39,1248.1
2012-08-02,1246.18,1255.18,1229.15,1234.97
2012-08-03,1233.8,1262.58,1232.41,1259.65
2012-08-06,1262.45,1271.34,1261.43,1267.85
2012-08-07,1267.08,1279.16,1267.05,1276.4
2012-08-08,1276.22,1277.9,1271.14,1276.09
2012-08-09,1276.03,1280.18,1274.23,1277.79
2012-08-10,1277.14,1278.36,1268.8,1278.36
2012-08-13,1277.25,1279.67,1271.29,1276.26
2012-08-14,1275.85,1280.92,1275.73,1277.51
2012-08-15,1277.61,1278.22,1274.14,1276.82
2012-08-16,1277.15,1288.86,1277.07,1287.62
2012-08-17,1288.12,1291.2,1287.41,1290.23
2012-08-20,1291.52,1292.81,1285,1289.75
2012-08-21,1290.01,1300.8,1289.91,1293.43
2012-08-22,1293.04,1293.07,1283.93,1287.84
2012-08-23,1290.55,1295.03,1283.31,1285.28
2012-08-24,1282.8,1287.4,1276.52,1285.84
2012-08-27,1286.08,1289.51,1284.36,1286.55
2012-08-28,1286.26,1287.02,1281.16,1284.25
2012-08-29,1283.93,1285.47,1280.71,1283.23
2012-08-30,1283.04,1283.04,1270.01,1272.02
2012-08-31,1270.89,1284.06,1269.73,1279.21
2012-09-03,1278.2,1281.17,1276.66,1280.76
2012-09-04,1280.94,1281.34,1270.02,1274.65
2012-09-05,1273.52,1276.49,1269.24,1273.21
2012-09-06,1273.24,1297.75,1272.71,1297.6
2012-09-07,1298.25,1312.08,1298.25,1312.08
2012-09-10,1311.38,1312.28,1305.41,1306.31
2012-09-11,1304.64,1314.47,1303.57,1311.71
2012-09-12,1311.96,1319.46,1311.96,1316.7
2012-09-13,1316.95,1334.23,1314.56,1329.48
2012-09-14,1332.96,1353.69,1332.96,1347.61
2012-09-17,1346.59,1347.68,1339.16,1342.31
2012-09-18,1341.53,1342.58,1334.43,1337.16
2012-09-19,1337.03,1343.83,1336.48,1341.5
2012-09-20,1340.82,1341.21,1326.48,1334.48
2012-09-21,1335.47,1343.23,1335.37,1338.05
2012-09-24,1336.93,1337.15,1328.05,1331.81
2012-09-25,1332.12,1339.18,1325.07,1327.25
2012-09-26,1323.11,1323.4,1307.21,1309.4
2012-09-27,1310,1323.6,1309.68,1320.17
2012-09-28,1322.01,1323.41,1308.1,1311.5
2012-10-01,1309.3,1326.73,1308.48,1318.81
2012-10-02,1318.2,1324.94,1315.27,1319.52
2012-10-03,1318.7,1320.86,1313.51,1318.91
2012-10-04,1319.62,1330.44,1319.3,1329
2012-10-05,1329.53,1341.01,1329.26,1334.63
2012-10-08,1332.91,1332.91,1324.84,1326.37
2012-10-09,1326.01,1326.65,1312.64,1313.46
2012-10-10,1312.75,1312.76,1303.62,1305.14
2012-10-11,1304.22,1315.52,1302.98,1308.83
2012-10-12,1308.66,1313.34,1303.69,1306.02
2012-10-15,1305.35,1314.11,1303.7,1312.78
2012-10-16,1313.3,1330.48,1313.3,1329.43
2012-10-17,1331.26,1340.68,1331.19,1339.65
2012-10-18,1339.53,1343.48,1335.85,1339.55
2012-10-19,1338.29,1338.54,1319.89,1322.28
2012-10-22,1321.66,1322.99,1313.77,1320.86
2012-10-23,1320.52,1321.43,1295.57,1299.99
2012-10-24,1300.22,1305.98,1296.69,1298.76
2012-10-25,1298.59,1309.78,1298.38,1302.77
2012-10-26,1301.96,1303.91,1295.82,1300.23
2012-10-29,1299.67,1300.71,1295.87,1296.96
2012-10-30,1297.01,1302.32,1296.18,1302.18
2012-10-31,1302.04,1308,1298.62,1301.52
2012-11-01,1301.78,1314.31,1299.81,1313.19
2012-11-02,1313.53,1317.14,1304.79,1305.77
2012-11-05,1305.07,1305.75,1298.43,1303.37
2012-11-06,1303.6,1314.44,1302.8,1311.42
2012-11-07,1311.77,1316.57,1285.71,1289.11
2012-11-08,1289.16,1291.85,1276.72,1276.72
2012-11-09,1277.36,1282.35,1270.22,1276.02
2012-11-12,1276.19,1278.16,1272.95,1274.27
2012-11-13,1274.05,1279.6,1265.65,1271.85
2012-11-14,1271.52,1273.09,1255.49,1257.12
2012-11-15,1257,1259.17,1250.33,1253.86
2012-11-16,1253.67,1255.99,1244.45,1253.31
2012-11-19,1254.49,1280.86,1254.49,1280.86
2012-11-20,1279.91,1282.57,1275.51,1281.29
2012-11-21,1281.75,1284.67,1279.24,1284.32
2012-11-22,1284.74,1290.96,1284.7,1290.5
2012-11-23,1290.47,1305.69,1290.14,1304.85
2012-11-26,1305.31,1306.81,1297.56,1302.63
2012-11-27,1303.46,1306.39,1298.7,1299.36
2012-11-28,1299.45,1304.91,1287.5,1303.85
2012-11-29,1304.71,1317.08,1304.58,1314.67
2012-11-30,1314.65,1317.79,1312.72,1315.49
2012-12-03,1315.29,1322.74,1313.35,1313.82
2012-12-04,1313.61,1317.49,1312.07,1314.02
2012-12-05,1313.82,1319.21,1308.78,1315.4
2012-12-06,1315.51,1319.37,1314.5,1319.13
2012-12-07,1318.48,1321.78,1316.46,1320.74
2012-12-10,1320.07,1323.45,1317.8,1321.96
2012-12-11,1322.22,1333.26,1321.24,1329.94
2012-12-12,1330.32,1338.69,1329.98,1332.27
2012-12-13,1332.65,1334.63,1325.06,1327.62
2012-12-14,1327.04,1329.29,1325.05,1325.49
2012-12-17,1326.59,1335.32,1325.21,1335.2
2012-12-18,1335.21,1348.35,1335.21,1347.92
2012-12-19,1347.6,1355.34,1347.58,1348.9
2012-12-20,1347.76,1352.33,1346.92,1351.85
